epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,189.022,1.03134,2.07931,1.1168,0.98061,0,0.59889,0.67906,0.7118,0.48202,0.59887,0.61128,0.65208,0.31686,0.98139,1.95572,0.90018,0.93667,0,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222
2,354.323,1.02523,1.8468,0.83233,0.95195,0,0.71538,0.69247,0.7349,0.49272,0.6915,0.64337,0.68119,0.32473,1.02093,2.07671,0.76117,0.9652,0,0.0199008,0.00663359,0.0199008,0.00663359,0.0199008,0.00663359,0.0199008,0.00663359
3,516.863,1.11156,1.89787,0.92979,0.98864,0,0.68495,0.56879,0.6264,0.40121,0.6851,0.59497,0.64183,0.33905,1.16415,1.91597,1.31514,1.02409,0,0.0297689,0.00992296,0.0297689,0.00992296,0.0297689,0.00992296,0.0297689,0.00992296
4,677.664,1.14713,1.87053,0.90193,1.00732,0,0.66294,0.66,0.67832,0.43471,0.66997,0.6429,0.66028,0.32959,1.11626,1.72288,0.9053,1.01653,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,838.529,1.10904,1.7663,0.83123,0.99413,0,0.72772,0.68809,0.73443,0.49243,0.73562,0.67923,0.7347,0.39579,1.00792,1.52954,0.80962,0.9839,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,999.479,1.07694,1.69747,0.81614,0.98931,0,0.67801,0.69527,0.72608,0.48936,0.67561,0.63939,0.67351,0.30935,1.00503,1.97524,0.84191,0.97406,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1160.17,1.0615,1.65773,0.78326,0.98335,0,0.69582,0.71419,0.74872,0.48955,0.70464,0.71619,0.75189,0.42072,1.03411,1.47049,0.80173,0.98196,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1320.98,1.0493,1.64429,0.77579,0.97789,0,0.7521,0.70672,0.7642,0.51719,0.73585,0.68476,0.73436,0.38952,0.97691,1.50341,0.75543,0.9605,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1481.6,1.02176,1.60252,0.75089,0.96767,0,0.71701,0.73102,0.76515,0.5239,0.71728,0.71224,0.75166,0.40697,0.97499,1.4893,0.72686,0.96016,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1642.16,1.01895,1.56557,0.74645,0.96688,0,0.75402,0.72168,0.77709,0.53028,0.75144,0.71147,0.7675,0.43458,0.96928,1.40971,0.69404,0.95595,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1802.78,1.00179,1.58754,0.73408,0.95857,0,0.75566,0.72055,0.78601,0.55301,0.74361,0.69597,0.75113,0.41642,0.93843,1.4699,0.68372,0.94475,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1963.44,0.99055,1.55954,0.72093,0.95608,0,0.74364,0.73095,0.78466,0.5416,0.72893,0.68987,0.74339,0.39935,0.94221,1.45459,0.69707,0.95033,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2124.18,0.98824,1.53496,0.71577,0.95794,0,0.73953,0.74971,0.79488,0.55449,0.73805,0.71471,0.76775,0.41049,0.93542,1.53011,0.68024,0.94984,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2284.72,0.96925,1.49778,0.7001,0.95098,0,0.74269,0.74219,0.78876,0.5482,0.73955,0.71883,0.7585,0.41997,0.94392,1.37602,0.66808,0.9489,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2445.5,0.96334,1.49163,0.68985,0.95066,0,0.72577,0.73109,0.76115,0.5259,0.72072,0.7056,0.73359,0.38809,0.95977,1.53268,0.72123,0.96063,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
