epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,155.642,1.04822,2.10358,1.10225,0.974,0,0.68728,0.7052,0.74077,0.50353,0.71574,0.63286,0.68571,0.31836,0.97866,2.30182,0.75887,0.92644,0,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222
2,292.255,1.02157,1.83671,0.84811,0.94095,0,0.67877,0.65153,0.66959,0.43574,0.68838,0.66075,0.67922,0.34176,1.06269,1.96937,1.11265,0.96226,0,0.0199008,0.00663359,0.0199008,0.00663359,0.0199008,0.00663359,0.0199008,0.00663359
3,426.498,1.10176,1.87018,0.91444,0.97296,0,0.63871,0.64461,0.69892,0.4622,0.65051,0.61369,0.66448,0.33422,1.04568,1.81036,0.91184,0.97581,0,0.0297689,0.00992296,0.0297689,0.00992296,0.0297689,0.00992296,0.0297689,0.00992296
4,560.129,1.14305,1.84672,0.89799,0.98922,0,0.65946,0.63803,0.66747,0.44668,0.65904,0.62765,0.65468,0.33791,1.09443,1.78088,0.90764,0.98684,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,693.54,1.09769,1.74583,0.8351,0.97405,0,0.73005,0.70351,0.75338,0.50304,0.73312,0.64766,0.70884,0.33998,1.02982,1.94169,0.75379,0.96504,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,827.116,1.07347,1.68587,0.81838,0.9696,0,0.65668,0.66397,0.70631,0.47691,0.63603,0.64249,0.673,0.32199,1.01909,1.82039,0.8373,0.96427,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,960.605,1.05524,1.65001,0.78646,0.96636,0,0.70532,0.72615,0.76011,0.51556,0.71567,0.70787,0.74885,0.41103,0.98999,1.52014,0.75969,0.94794,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1094.28,1.04775,1.63885,0.78026,0.96087,0,0.73085,0.70898,0.76768,0.52887,0.7374,0.6883,0.74874,0.40828,0.94969,1.46562,0.73249,0.93683,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1227.93,1.0231,1.59452,0.76436,0.9539,0,0.73766,0.68841,0.75011,0.52085,0.72932,0.67701,0.73012,0.38402,0.96518,1.60477,0.76541,0.94248,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1361.31,1.00965,1.55904,0.74121,0.94855,0,0.73541,0.71784,0.76571,0.52088,0.73719,0.6898,0.74038,0.40002,0.97471,1.48977,0.73052,0.94517,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1494.71,1.00099,1.58095,0.73746,0.94291,0,0.73289,0.74087,0.78048,0.54364,0.73445,0.70442,0.75171,0.41057,0.95264,1.47292,0.68818,0.93568,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1628.23,0.98974,1.55105,0.72269,0.94331,0,0.72463,0.73679,0.77695,0.53079,0.72978,0.68059,0.72893,0.3815,0.95998,1.49419,0.71617,0.93952,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1761.86,0.9899,1.54256,0.7156,0.94213,0,0.75261,0.732,0.78803,0.55018,0.74721,0.70884,0.75821,0.41076,0.93776,1.48428,0.70414,0.9319,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1895.47,0.96988,1.4891,0.70667,0.93547,0,0.73927,0.71577,0.77408,0.5401,0.73075,0.69458,0.74365,0.41294,0.94257,1.37432,0.68838,0.93047,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2029.04,0.95719,1.49261,0.68652,0.93549,0,0.72871,0.74286,0.78329,0.54852,0.72892,0.71055,0.75573,0.41982,0.92923,1.3791,0.69288,0.9244,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2162.62,0.96143,1.46111,0.68607,0.92921,0,0.74711,0.74489,0.79149,0.55661,0.77293,0.71059,0.77829,0.44599,0.92912,1.34881,0.66815,0.92695,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2296.52,0.96943,1.50092,0.68542,0.92949,0,0.75713,0.72607,0.7889,0.55318,0.74007,0.70313,0.75791,0.42623,0.92708,1.41241,0.6799,0.92526,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2429.83,0.95476,1.45599,0.68935,0.9281,0,0.76003,0.71586,0.77762,0.54749,0.75171,0.68084,0.73918,0.40065,0.93353,1.39951,0.69029,0.92253,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2563.25,0.94126,1.44826,0.67097,0.92405,0,0.74321,0.73486,0.78807,0.54828,0.73858,0.69456,0.74843,0.39525,0.9385,1.49227,0.67602,0.92668,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2696.66,0.93335,1.46214,0.66659,0.92105,0,0.75633,0.73696,0.80405,0.56905,0.75222,0.70946,0.77066,0.43088,0.91474,1.34468,0.65264,0.91811,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
