epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,107,1.54022,3.05932,2.74098,1.13331,0,0.53581,0.5808,0.5593,0.36123,0.53214,0.5567,0.53664,0.23491,1.1203,2.25368,1.30593,0.93085,0,0.00165719,0.000552398,0.00165719,0.000552398,0.00165719,0.000552398,0.00165719,0.000552398
2,197.015,1.18383,2.19278,1.27538,0.95957,0,0.65347,0.63909,0.65734,0.4352,0.63275,0.61673,0.62428,0.30418,1.01479,1.90705,0.99643,0.90296,0,0.00330774,0.00110258,0.00330774,0.00110258,0.00330774,0.00110258,0.00330774,0.00110258
3,285.474,1.11622,2.02085,1.08714,0.94279,0,0.64924,0.67289,0.70039,0.46526,0.6358,0.65275,0.67807,0.33476,0.98261,1.74596,0.92952,0.89868,0,0.00494178,0.00164726,0.00494178,0.00164726,0.00494178,0.00164726,0.00494178,0.00164726
4,373.442,1.08704,1.90781,0.99582,0.93199,0,0.69919,0.68445,0.72068,0.48165,0.69113,0.66264,0.69524,0.35071,0.99278,1.71022,0.85838,0.89582,0,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225
5,461.519,1.06768,1.84744,0.92957,0.92855,0,0.73554,0.68674,0.74163,0.4975,0.7149,0.65798,0.70057,0.33964,0.96563,1.69571,0.82565,0.88988,0,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399
6,549.306,1.04921,1.79514,0.89285,0.92421,0,0.72763,0.71104,0.74987,0.50595,0.70516,0.67938,0.71262,0.36467,0.96975,1.63083,0.80956,0.88747,0,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574
7,637.602,1.04512,1.75725,0.86282,0.91913,0,0.7209,0.70291,0.74983,0.50555,0.70604,0.67706,0.71558,0.37174,0.95172,1.55605,0.78869,0.88453,0,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
8,725.259,1.02553,1.72382,0.83138,0.91778,0,0.72364,0.69862,0.75195,0.51445,0.70404,0.67679,0.71931,0.37355,0.9459,1.58317,0.76241,0.88496,0,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924
9,812.966,1.025,1.72057,0.81136,0.91529,0,0.74259,0.69549,0.75295,0.51151,0.7233,0.66553,0.71027,0.36355,0.95216,1.54058,0.76789,0.88571,0,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
10,900.97,1.0133,1.69653,0.79178,0.91309,0,0.71975,0.71714,0.76123,0.5245,0.71944,0.68276,0.73033,0.39113,0.92834,1.50256,0.72277,0.88275,0,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274
11,988.504,1.0124,1.68571,0.78028,0.91386,0,0.73966,0.7218,0.76601,0.52297,0.72626,0.69011,0.73143,0.38562,0.93882,1.51536,0.71813,0.88698,0,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
12,1075.84,1.0033,1.6645,0.76566,0.91454,0,0.73897,0.717,0.7652,0.52246,0.73019,0.67415,0.72252,0.38002,0.93749,1.55048,0.71364,0.88647,0,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623
13,1163.5,1.00342,1.6856,0.75653,0.91005,0,0.72717,0.72915,0.76852,0.52388,0.70988,0.70154,0.73499,0.38839,0.93308,1.5316,0.72758,0.88397,0,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
14,1250.62,0.98631,1.64456,0.73992,0.90956,0,0.73772,0.73597,0.77644,0.53257,0.73305,0.69215,0.73026,0.38817,0.92841,1.48111,0.69352,0.88273,0,0.00467919,0.00155973,0.00467919,0.00155973,0.00467919,0.00155973,0.00467919,0.00155973
15,1337.89,0.98498,1.62334,0.73621,0.90668,0,0.75181,0.72722,0.77302,0.52922,0.74265,0.69474,0.74041,0.39249,0.94045,1.52187,0.72026,0.88643,0,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
16,1461.96,0.99237,1.62245,0.73127,0.90953,0,0.75601,0.73375,0.78144,0.53514,0.73873,0.68034,0.72929,0.37285,0.93595,1.53868,0.70673,0.88092,0,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323
17,1549.02,0.9778,1.60061,0.7154,0.90399,0,0.73813,0.72913,0.77162,0.53222,0.73334,0.70289,0.74459,0.40334,0.93474,1.51548,0.69977,0.88854,0,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
