epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,133.518,1.37091,2.8842,1.73182,1.13312,0,0.61706,0.65,0.67213,0.43612,0.59381,0.62466,0.63008,0.28678,0.97447,2.11283,0.89762,0.9257,0,0.00165719,0.000552398,0.00165719,0.000552398,0.00165719,0.000552398,0.00165719,0.000552398
2,249.865,1.05143,2.0587,0.84064,0.94074,0,0.68849,0.69051,0.74177,0.50605,0.6857,0.65036,0.70323,0.34955,0.93576,1.8278,0.75211,0.90213,0,0.00330774,0.00110258,0.00330774,0.00110258,0.00330774,0.00110258,0.00330774,0.00110258
3,373.822,1.02281,1.87909,0.77406,0.92769,0,0.73615,0.68463,0.74959,0.50976,0.73436,0.65489,0.71666,0.36388,0.94402,1.68639,0.75001,0.91233,0,0.00494178,0.00164726,0.00494178,0.00164726,0.00494178,0.00164726,0.00494178,0.00164726
4,489.644,1.0049,1.78181,0.73984,0.92424,0,0.7288,0.71685,0.74842,0.50893,0.71685,0.69511,0.72389,0.3755,0.95226,1.6983,0.72801,0.90861,0,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225
5,607.3,0.9897,1.71951,0.71204,0.92047,0,0.745,0.71281,0.77664,0.53731,0.75555,0.66959,0.73495,0.38378,0.92224,1.55944,0.69239,0.89595,0,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399
6,724.001,0.97782,1.67731,0.70236,0.91437,0,0.74105,0.72893,0.78008,0.54476,0.72291,0.69896,0.74027,0.38814,0.91437,1.56262,0.68507,0.88762,0,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574
7,841.426,0.97251,1.63716,0.68929,0.91067,0,0.75187,0.72546,0.78114,0.54365,0.73615,0.69655,0.7414,0.39232,0.91336,1.59029,0.69719,0.89482,0,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
8,958.011,0.95706,1.61032,0.67167,0.91045,0,0.70936,0.73516,0.77695,0.54221,0.71667,0.67398,0.73155,0.39001,0.90937,1.51331,0.69803,0.89846,0,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924
9,1075.05,0.9551,1.60544,0.66826,0.90648,0,0.7561,0.73787,0.78631,0.54194,0.73034,0.70189,0.73537,0.39259,0.9211,1.48498,0.67317,0.90032,0,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
10,1193.72,0.95022,1.58174,0.6611,0.90737,0,0.74198,0.74314,0.79317,0.55724,0.74403,0.70568,0.75876,0.41404,0.8982,1.46136,0.66003,0.89583,0,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274
