epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,335.631,0.99156,2.01227,1.0179,0.97713,0,0.63254,0.71346,0.73094,0.50186,0.63101,0.67598,0.69445,0.34131,0.92482,1.90741,0.75251,0.92964,0,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778
2,635.795,1.0126,1.83245,0.86697,0.97185,0,0.59047,0.68136,0.71871,0.4797,0.58187,0.60359,0.64501,0.28284,1.04419,2.18715,0.83809,0.9715,0,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913
3,931.752,1.10859,1.88329,0.96324,0.99319,0,0.70292,0.64911,0.70624,0.46218,0.69477,0.61219,0.66197,0.3209,1.10163,1.73689,0.87738,0.99401,0,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848
4,1226.3,1.13351,1.88025,0.92428,1.0164,0,0.67138,0.7055,0.73101,0.47759,0.66763,0.68263,0.71461,0.36196,1.00854,1.58111,0.8128,0.97861,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1520.59,1.11447,1.78176,0.8476,1.00818,0,0.70269,0.69702,0.74323,0.50108,0.71917,0.67344,0.72916,0.3979,0.99988,1.54561,0.79535,0.9771,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1815.52,1.07586,1.71678,0.80904,0.99415,0,0.72327,0.70263,0.75271,0.50244,0.71546,0.65397,0.70254,0.34695,1.04272,1.63858,0.74301,0.98201,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2109.93,1.05188,1.66918,0.79379,0.98641,0,0.69493,0.72272,0.75375,0.51683,0.70821,0.68475,0.72794,0.38171,0.97605,1.59705,0.74678,0.97318,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2404.44,1.03214,1.63,0.77287,0.97899,0,0.71515,0.71482,0.76018,0.52312,0.70538,0.69699,0.7333,0.38484,0.96384,1.52389,0.73083,0.96075,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2699.08,1.01727,1.59789,0.76969,0.98067,0,0.72811,0.68793,0.75105,0.51578,0.72423,0.64782,0.70868,0.37164,0.98679,1.56115,0.73519,0.96871,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2993.48,1.01795,1.62146,0.7618,0.98424,0,0.69687,0.71176,0.75578,0.51249,0.69905,0.69774,0.74173,0.40249,0.97784,1.50975,0.74072,0.96641,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,3288.19,0.99883,1.58164,0.73863,0.97049,0,0.743,0.72471,0.7778,0.54156,0.74497,0.69866,0.75531,0.41748,0.94232,1.41802,0.68904,0.95639,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,3582.83,0.98557,1.53582,0.72358,0.96411,0,0.74166,0.73273,0.77297,0.53509,0.7375,0.7033,0.74536,0.39484,0.93063,1.45927,0.67374,0.95193,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,3877.05,0.98359,1.53795,0.72024,0.96543,0,0.73676,0.74111,0.79445,0.55422,0.72806,0.70733,0.75247,0.40682,0.93179,1.40041,0.66855,0.94671,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,4171.96,0.96944,1.52117,0.70174,0.95953,0,0.74774,0.73711,0.78104,0.54367,0.73821,0.69332,0.73759,0.39706,0.92328,1.43423,0.67352,0.94464,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,4466.2,0.95581,1.50908,0.69392,0.95455,0,0.72999,0.70295,0.76105,0.52781,0.7339,0.68364,0.73817,0.37291,0.95376,1.7008,0.72039,0.96863,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,4760.69,0.95221,1.48211,0.68633,0.95088,0,0.73527,0.73184,0.77971,0.55388,0.73046,0.71856,0.75711,0.42738,0.91762,1.37391,0.66652,0.94236,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
